ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Classical Computing,,FOUND
2,What Is a Qubit,1,FOUND
3,Superposition Explained,2,FOUND
4,Entanglement Explained,2,FOUND
5,Quantum Measurement Problem,3|4,FOUND
6,Theoretical Promise of QC,3|4,FOUND
7,What QC Could Supposedly Do,6,FOUND
8,What QC Cannot Do,7,FOUND
9,QC vs Classical Computing,1|7|8,FOUND
10,Decoherence Problem,5,BARR
11,Qubits Are Extremely Fragile,10,BARR
12,Error Rate Problem,11,BARR
13,Error Correction Overhead,12,BARR
14,1000 Physical per 1 Logical,13,BARR
15,Million Qubit Requirement,14,BARR
16,Engineering vs Physics Barrier,10|12,BARR
17,No Platform Has Solved It,16,BARR
18,Cryogenic Cooling Requirement,11,BARR
19,Near Absolute Zero Temps,18,BARR
20,Cryogenic Cost and Scale,19,BARR
21,Wiring and Control Problem,18,BARR
22,Energy Consumption Problem,20|21,BARR
23,Infrastructure Cost,20|22,BARR
24,Hardware Scaling Wall,15|23,BARR
25,Connectivity Limitations,11,BARR
26,Superconducting Approach,18|25,HARD
27,Trapped Ion Approach,11|25,HARD
28,Photonic Approach,11,HARD
29,Topological Approach,11,HARD
30,Neutral Atom Approach,11,HARD
31,Platform Comparison,26|27|28|29|30,HARD
32,Each Platform Has Fatal Flaws,31|16,HARD
33,Shor's Factoring Algorithm,6,ALGO
34,Grover's Search Algorithm,6,ALGO
35,Quantum Supremacy Defined,7,ALGO
36,Quantum Advantage Defined,35,ALGO
37,Contrived Benchmarks,35|36,ALGO
38,No Real-World Advantage Yet,36|37,ALGO
39,Narrow Problem Applicability,8|33|34,ALGO
40,Classical Computers Keep Up,9|38,ALGO
41,Feynman's 1981 Idea,6,HIST
42,Shor's Algorithm 1994,33,HIST
43,First Lab Demos 1998-2001,42,HIST
44,"D-Wave ""Commercial"" QC 2007",43,HIST
45,D-Wave Sale to Lockheed 2011,44,HIST
46,Google Buys D-Wave 2013,45,HIST
47,IBM Cloud Access 2016,43,HIST
48,Google Sycamore Claim 2019,35|47,HIST
49,IBM 127-Qubit Chip 2021,47,HIST
50,IBM 1121-Qubit Chip 2023,49,HIST
51,Zero Commercial ROI by 2025,48|50,HIST
52,Timeline Pattern Analysis,41|42|43|44|48|50|51,HIST
53,3-5 Years Away Pattern,52,HIST
54,40 Years of Promises,52|53,HIST
55,Catalog of Broken Promises,54,HYPE
56,D-Wave Exaggerated Claims,44|45|55,HYPE
57,Google Supremacy Overhype,48|55,HYPE
58,IBM Roadmap Revisions,49|50|55,HYPE
59,Startup Pitch Exaggeration,55,HYPE
60,Consultant Hype Reports,55,HYPE
61,McKinsey $450B Projection,60,HYPE
62,Media Amplification Effect,55,HYPE
63,Moving Goalposts Pattern,53|55,HYPE
64,Unfalsifiable Timelines,53|63,HYPE
65,Redefining Success,63|64,HYPE
66,Fusion Energy Parallel,54,HYPE
67,Flying Cars Parallel,54,HYPE
68,Public Key Encryption Basics,1,CRYP
69,Could QC Break Encryption?,33|68,CRYP
70,Massive Qubits Needed,15|69,CRYP
71,Post-Quantum Crypto Exists,68,CRYP
72,NIST Already Has Standards,71,CRYP
73,Harvest Now Decrypt Later,69,CRYP
74,Window Is Already Closing,70|72,CRYP
75,Crypto Threat Is Overstated,70|74,CRYP
76,Return on Investment,,ECON
77,Net Present Value,76,ECON
78,Risk-Adjusted Returns,76|77,ECON
79,Expected Value Framework,78,ECON
80,Probability of Success,79,ECON
81,Opportunity Cost,76,ECON
82,Sunk Cost Trap,76,ECON
83,Total $100B+ Invested,76,ECON
84,Zero Revenue Generated,83,ECON
85,VC Funding Frenzy,83,ECON
86,Corporate R&D Burn Rate,83,ECON
87,Government Funding Pressure,83,ECON
88,Revenue Model Problem,84,ECON
89,Who Pays for QC?,88,ECON
90,Customer Demand Evidence,89,ECON
91,No Paying Customers,90,ECON
92,Classical Alternatives Cheaper,9|91,ECON
93,Cost Per Computation,23|92,ECON
94,Total Cost of Ownership,93,ECON
95,IonQ IPO and Stock Decline,85,ECON
96,SPAC Risks in QC,85,ECON
97,Rigetti Financial Struggles,85,ECON
98,D-Wave Revenue Reality,56|84,ECON
99,Market Valuation vs Revenue,95|96|97|98,ECON
100,Comparable Company Analysis,99,ECON
101,Exit Strategy Problem,99|91,ECON
102,Acqui-Hire as Only Exit,101,ECON
103,Venture Capital Loss Rates,85|99,ECON
104,When to Cut Losses,82|103,ECON
105,Technology Readiness Levels,,TECH
106,TRL Scale Explained,105,TECH
107,QC Stuck at TRL 2-3,106|38,TECH
108,Technology Adoption Curves,105,TECH
109,Crossing the Chasm,108,TECH
110,Gartner Hype Cycle,108,TECH
111,Peak of Inflated Expectations,110,TECH
112,Trough of Disillusionment,111,TECH
113,Technology Forecasting,108,TECH
114,Base Rate of Tech Failure,113,TECH
115,Prediction Track Records,113|114,TECH
116,Science vs Engineering Gap,16|105,TECH
117,Dot-Com Bubble Parallel,118,TECH
118,Technology Bubble Dynamics,110|114,TECH
119,General Purpose Technology,,GPT
120,GPT Characteristics,119,GPT
121,Must Be Broadly Applicable,120,GPT
122,Must Improve Over Time,120,GPT
123,Must Enable New Innovations,120,GPT
124,Steam Engine as GPT,121|122|123,GPT
125,Electricity as GPT,121|122|123,GPT
126,Transistor as GPT,121|122|123,GPT
127,Internet as GPT,121|122|123,GPT
128,AI/ML as Emerging GPT,121|122|123,GPT
129,QC Fails Every GPT Test,121|122|123|39,GPT
130,QC Is Narrowly Applicable,129,GPT
131,QC Cannot Replace Classical,9|130,GPT
132,Cognitive Bias Overview,,BIAS
